tid,name,pos,hgt,weight,imgURL,born/year,born/loc,contract/amount,contract/exp,draft/round,draft/pick,draft/tid,draft/originalTid,draft/year,college,ratings/0/hgt,ratings/0/stre,ratings/0/spd,ratings/0/jmp,ratings/0/endu,ratings/0/ins,ratings/0/dnk,ratings/0/ft,ratings/0/fg,ratings/0/tp,ratings/0/blk,ratings/0/stl,ratings/0/drb,ratings/0/pss,ratings/0/reb,ratings/0/pot,skills/0,skills/1,awards/0/season,awards/0/type,awards/1/season,awards/1/type,skills/2,injury/type,injury/gamesRemaining,firstName,lastName
6,Tom Hammonds,PF,81,215,http://a.espncdn.com/i/headshots/nba/players/65/298.jpg,1967,"Fort Walton, FL",970,1998,1,9,28,28,1989,Georgia Tech,72,63,48,36,45,63,67,67,54,0,60,54,45,53,75,56,,,,,,,,,,,
6,Don MacLean,PF,82,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687958Fr.jpg,1970,"Palo Alto, CA",925,1996,1,19,7,7,1992,UCLA,78,66,40,53,64,64,59,54,64,54,34,54,65,34,66,56,,,,,,,,,,,
6,Dale Ellis,SF,79,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687926Fr.jpg,1960,"Marietta, GA",1310,1996,1,9,5,5,1983,Tennessee,48,47,66,62,74,46,58,47,84,86,40,71,44,39,45,57,,,,,,,,,,,
6,Doug Overton,PG,75,190,http://i.cdn.turner.com/nba/nba/teamsites/images/legacy/nets/overton.jpg,1969,"Philadelphia, PA",600,1996,2,13,7,7,1991,La Salle,21,34,58,34,49,36,55,32,64,74,43,23,72,68,43,50,,,,,,,,,,,
6,Randy Woods,PG,70,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2172/2172-126Fr.jpg,1970,"Philadelphia, PA",950,1996,1,16,11,11,1992,La Salle,4,50,64,58,34,23,54,34,54,65,76,45,43,54,65,53,,,,,,,,,,,
7,Joe Dumars,G,75,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687728Fr.jpg,1963,"Shreveport, LA",6881,1997,1,18,7,7,1985,McNeese State,29,33,60,63,74,23,64,73,80,82,20,65,65,62,42,58,,,,,,,,,,,
7,Grant Hill,SF,80,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687923Fr.jpg,1972,"Dallas, TX",4050,2000,1,3,7,7,1994,Duke,67,58,79,88,89,49,84,50,84,74,34,66,79,92,78,81,,,1995,Rookie of the Year,,,,,,,
7,Allan Houston,SG,78,200,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-14Fr.jpg,1971,"Louisville, KY",1177,1996,1,11,7,7,1993,Tennessee,50,37,72,64,85,38,68,83,95,92,35,35,65,59,42,72,3,,,,,,,,,,
7,Otis Thorpe,FC,81,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2359/2359-684998Fr.jpg,1962,"Boynton Beach, FL",2607,1996,1,9,22,22,1984,Providence,74,73,59,77,66,87,73,66,77,10,68,67,50,55,82,64,,,,,,,,,,,
7,Theo Ratliff,FC,82,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-259Fr.jpg,1973,"Demopolis, AL",714,1998,1,18,7,21,1995,Wyoming,82,75,65,73,50,50,44,55,26,0,86,53,24,54,73,57,,,,,,,,,,,
7,Lindsey Hunter,PG,74,170,http://exnba.com/wp-content/uploads/2012/12/lindsey-hunter.jpg,1970,"Utica, MS",1444,1997,1,10,7,7,1993,Jackson State,21,36,72,70,68,25,65,45,67,65,35,65,74,75,26,58,,,,,,,,,,,
-1,Michael Curry,GF,77,210,http://i.imgur.com/6IvreRK.png,1968,"Anniston, AL",200,1996,0,0,-1,-1,1990,Georgia Southern,43,46,65,49,60,31,20,62,43,49,12,62,53,62,43,54,,,,,,,,,,,
7,Mark West,C,82,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687796Fr.jpg,1960,"Petersburg, VA",1500,1996,1,30,5,5,1983,Old Dominion,82,83,35,32,53,65,44,43,36,0,73,23,34,32,75,53,,,,,,,,,,,
7,Steve Bardo,SG,77,190,http://i.imgur.com/nYDcYWo.png,1968,"Henderson, KY",225,1996,2,14,0,0,1990,Illinois,43,44,65,34,46,30,54,65,34,54,55,34,44,43,52,47,,,,,,,,,,,
7,Rodney Zimmerman,FC,81,235,http://i.imgur.com/8tNnDhD.png,1972,"Colorado Springs, CO",200,1996,0,0,-1,-1,1994,UCLA,71,65,31,52,44,54,39,24,14,0,68,34,13,23,64,44,,,,,,,,,,,
7,Terry Mills,PF,82,230,http://www.hispanosnba.com/imagenes/jugadores_img/terry-mills.jpg,1967,"Romulus, MI",2177,1997,1,16,14,14,1990,Michigan,74,65,51,53,63,62,61,64,58,64,65,54,48,46,77,59,,,,,,,,,,,
7,Don Reid,PF,80,250,http://a.espncdn.com/i/headshots/nba/players/65/697.jpg,1973,"Washington, DC",200,1997,2,29,7,7,1995,Georgetown,65,76,46,59,38,57,67,45,55,0,54,66,25,55,71,54,,,,,,,,,,,
7,Eric Leckner,C,83,265,http://wyohof.com/wp-content/uploads/2012/07/lecknerEric1998.jpg,1966,"Inglewood, CA",300,1996,1,17,26,26,1988,Wyoming,83,71,25,55,35,72,67,45,32,11,73,32,37,33,75,48,,,,,,,,,,,
7,Lou Roe,SF,79,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687996Fr.jpg,1972,"Atlantic City, NJ",200,1996,2,1,7,7,1995,UMass,54,59,45,35,50,43,56,45,49,43,54,45,40,56,44,52,,,,,,,,,,,
7,Mark Macon,G,76,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2142/2142-53Fr.jpg,1969,"Saginaw, MI",2038,1996,1,8,6,6,1991,Temple,36,53,68,72,50,34,54,43,56,32,36,43,61,64,61,54,,,,,,,,,,,
8,B.J. Armstrong,PG,74,175,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687917Fr.jpg,1967,"Detroit, MI",2400,1999,1,18,3,3,1989,Iowa,24,33,76,65,63,23,63,82,69,75,34,53,76,69,45,58,,,,,,,,,,,
8,Tim Hardaway,PG,72,175,http://sports.espn.go.com/i/nba/profiles/players/0143.jpg,1966,"Chicago, IL",3728,1996,1,14,8,8,1989,UTEP,10,48,87,83,73,36,82,67,75,59,34,64,82,94,63,71,,,,,,,,,,,
8,Latrell Sprewell,GF,77,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2319/2319-206Fr.jpg,1970,"Milwaukee, WI",975,1996,1,24,8,8,1992,Alabama,44,60,83,85,92,54,85,65,80,70,54,34,66,65,63,68,,,,,,,,,,,
8,Chris Gatling,FC,82,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-193Fr.jpg,1967,"Elizabeth, NJ",1540,1996,1,16,8,,1991,Old Dominion,84,64,45,58,64,54,57,53,43,21,63,43,46,42,78,58,,,,,,,,,,,
8,Joe Smith,PF,82,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2346/2346-684604Fr.jpg,1975,"Norfolk, VA",2473,1998,1,1,8,8,1995,Maryland,80,75,58,67,72,75,75,74,62,12,74,56,40,56,82,66,,,,,,,,,,,
8,Rony Seikaly,C,83,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687729Fr.jpg,1965,"Beirut, Lebanon",3532,2000,1,9,13,,1988,Syracuse,86,74,46,72,63,72,72,53,50,0,72,53,35,41,77,62,,,,,,,,,,,
8,Chris Mullin,GF,78,200,http://i2.cdn.turner.com/nba/nba/history/legends/chris-mullin/chris-mullin-shot.jpg,1963,"New York, NY",2844,1997,1,7,8,8,1985,St. John's,50,43,56,54,76,52,56,73,83,86,43,65,67,73,56,63,,,,,,,,,,,
8,Clifford Rozier,C,83,245,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687879Fr.jpg,1972,"Bradenton, FL",845,1997,1,16,8,8,1994,Louisville,85,69,50,66,55,76,46,56,45,15,65,76,36,34,80,58,,,,,,,,,,,
8,Donyell Marshall,F,81,218,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687906Fr.jpg,1973,"Reading, PA",2730,2003,1,4,15,,1994,Connecticut,70,65,67,65,63,65,67,65,59,65,45,65,46,65,58,67,,,,,,,,,,,
8,Jerome Kersey,SF,79,215,http://cdn.solecollector.com/media/u/images/Jerome%20Kersey%20Nike%20Bound%2091.jpg,1962,"Clarksville, VA",255,1996,2,22,21,21,1984,Longwood,50,68,49,63,57,44,67,54,55,21,37,58,49,50,68,55,,,,,,,,,,,
8,Andrew DeClercq,C,82,230,http://www.turbodaddy.net/badschotz/wp-content/uploads/2011/09/Andrew_DeClercq.jpg,1973,"Detroit, MI",230,1996,2,5,8,8,1995,Florida,79,65,35,63,55,55,65,54,65,0,64,54,54,43,68,56,,,,,,,,,,,
8,Jon Barry,SG,76,195,http://a.espncdn.com/i/headshots/nba/players/65/41.jpg,1969,"Oakland, CA",275,1996,1,21,1,,1992,Georgia Tech,37,24,54,34,23,14,44,54,63,54,43,54,54,54,25,52,,,,,,,,,,,
8,David Wood,PF,81,227,http://www.tradingcarddb.com/Images/Cards/Basketball/2410/2410-686553Fr.jpg,1964,"Spokane, WA",350,1996,0,0,-1,-1,1987,Nevada,71,63,46,54,34,54,46,45,55,0,54,26,25,55,68,47,,,,,,,,,,,
9,Hakeem Olajuwon,C,84,255,http://i.cdn.turner.com/nba/nba/teamsites/images/legacy/rockets/content12_90steamOlajuwon.jpg,1963,"Lagos, Nigeria",5305,1997,1,1,9,9,1984,Houston,96,87,77,87,94,96,97,72,86,0,93,53,45,63,93,76,,,1993,Defensive Player of the Year,1994,Defensive Player of the Year,,,,,
9,Clyde Drexler,GF,79,210,http://i.cdn.turner.com/nba/nba/teamsites/images/legacy/rockets/content12_90steamDrexler2.jpg,1962,"New Orleans, LA",9810,1996,1,14,21,21,1983,Houston,64,56,80,84,84,52,69,94,87,80,43,69,71,74,54,76,,,,,,,,,,,
9,Kenny Smith,PG,75,170,http://i.imgur.com/D4NdYQ1.png,1965,"Queens, NY",2683,1996,1,6,22,22,1987,North Carolina,30,45,63,67,65,33,45,84,76,67,45,77,78,74,54,59,,,,,,,,,,,
9,Robert Horry,F,81,220,https://s-media-cache-ak0.pinimg.com/236x/5f/24/67/5f246723c0ac93eb5b179f982a3bc66f.jpg,1970,"Harford County, MD",1601,1997,1,11,9,9,1992,Alabama,71,54,68,64,58,54,56,83,78,86,45,45,60,59,76,66,,,,,,,,,,,
9,Mario Elie,GF,79,210,http://www.tradingcarddb.com/Images/Cards/Basketball/2462/2462-688555RepFr.jpg,1963,"New York City, NY",1450,1996,7,21,14,,1985,American International,55,50,54,64,53,44,59,54,54,43,45,55,54,60,52,59,,,,,,,,,,,
9,Sam Cassell,PG,75,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2435/2435-687506Fr.jpg,1969,"Baltimore, MD",1040,1997,1,24,9,9,1993,Florida State,28,28,83,53,65,36,66,76,46,70,46,75,81,76,46,66,,,,,,,,,,,
9,Chucky Brown,PF,79,214,http://i.imgur.com/xo6Hr6g.png,1968,"New York, NY",425,1997,2,16,4,4,1989,NC State,63,63,21,43,52,65,56,54,43,65,43,54,48,43,76,56,,,,,,,,,,,
9,Pete Chilcutt,PF,82,230,http://i.imgur.com/O7zBJan.png,1968,"Sumter, SC",700,1999,1,27,22,22,1991,North Carolina,78,65,45,34,56,34,65,70,34,56,54,65,34,54,34,53,,,,,,,,,,,
9,Tim Breaux,F,79,215,http://i.imgur.com/bnymjcD.png,1970,"Baton Rouge, LA",225,1997,0,0,-1,-1,1992,Wyoming,54,65,34,65,45,34,54,65,33,54,67,65,53,45,65,55,,,,,,,,,,,
9,Mark Bryant,FC,81,245,http://www.clutchfans.net/images/profiles/Mark_Bryant.jpg,1965,"Glen Ridge, NJ",1000,1997,1,21,21,21,1988,Seton Hall,73,76,35,72,52,74,77,60,42,0,53,50,35,36,74,55,,,,,,,,,,,
9,Eldridge Recasner,PG,75,190,http://i.imgur.com/uV3GQ3h.png,1967,"New Orleans, LA",225,1996,0,0,-1,-1,1990,Washington,29,37,65,50,55,31,56,72,63,53,12,62,75,70,43,54,,,,,,,,,,,
9,Charles Jones,FC,81,215,http://i.imgur.com/20gzvPu.png,1957,"McGehee, AR",350,1996,8,18,20,20,1979,Albany State,67,65,37,36,33,62,66,70,52,0,56,45,34,44,36,48,,,,,,,,,,,
9,Alvin Heggs,PF,80,225,http://i.imgur.com/fi4aJut.png,1967,"Jacksonville, FL",200,1996,0,0,-1,-1,1990,Texas,64,63,46,54,34,54,46,45,55,0,54,26,25,55,68,47,,,,,,,,,,,
10,Reggie Miller,SG,79,185,http://i2.cdn.turner.com/nba/nba/history/legends/reggie-miller/reggie-miller-300b.jpg,1965,"Riverside, CA",3211,1996,1,11,10,,1987,UCLA,41,45,77,78,83,44,43,84,94,97,34,56,73,67,43,76,,,,,,,,,,,
10,Rik Smits,C,88,250,https://s-media-cache-ak0.pinimg.com/236x/5a/b3/10/5ab310592f1eab84342a78e09801ad7a.jpg,1966,"Eindhoven, Netherlands",3750,1998,1,2,10,10,1988,Marist,100,82,44,83,70,90,88,67,62,0,86,34,21,54,88,74,,,,,,,,,,,
10,Mark Jackson,PG,73,180,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687819Fr.jpg,1965,"Brooklyn, NY",2600,1997,1,18,17,,1987,St. John's,18,45,73,56,76,36,62,66,73,76,45,67,83,94,34,65,,,1988,Rookie of the Year,,,,,,,
10,Dale Davis,FC,83,252,http://a.espncdn.com/i/headshots/nba/players/65/187.jpg,1969,"Toccoa, GA",4050,1996,1,13,10,,1991,Clemson,74,85,64,59,57,67,63,67,54,13,64,54,42,46,79,64,,,,,,,,,,,
10,Antonio Davis,FC,81,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-8Fr.jpg,1968,"Oakland, CA",800,1996,2,18,10,,1990,UTEP,72,85,53,67,60,67,62,54,44,22,65,32,44,34,84,63,,,,,,,,,,,
10,Eddie Johnson,GF,79,215,http://static.bkref.com/images/players/johnsed03.jpg,1959,"Chicago, IL",1000,1997,2,6,22,22,1981,Illinois,57,41,60,56,56,42,72,75,72,77,67,83,62,66,35,56,,,,,,,,,,,
10,Derrick McKey,SF,81,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-64Fr.jpg,1966,"Meridian, MS",2800,2001,1,9,24,24,1987,Alabama,72,45,44,45,56,43,54,65,55,65,46,47,54,63,56,64,,,,,,,,,,,
10,Ricky Pierce,G,76,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687986Fr.jpg,1959,"Dallas, TX",1000,1998,1,18,7,7,1982,Rice,38,39,73,64,67,61,63,84,62,83,45,65,60,55,45,65,,,,,,,,,,,
10,Travis Best,PG,71,182,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687989Fr.jpg,1972,"Springfield, MA",580,1998,1,23,10,10,1995,Georgia Tech,5,24,88,69,63,24,65,45,65,46,76,45,77,75,34,58,,,,,,,,,,,
10,Haywoode Workman,PG,74,180,http://www.nba.com/pacers/sites/pacers/files/haywoode_workman_240.jpg,1966,"Charlotte, NC",900,1999,2,22,0,0,1989,Oral Roberts,21,33,66,54,49,24,34,65,69,59,32,54,74,66,56,54,,,,,,,,,,,
10,Adrian Caldwell,PF,80,265,http://www.clutchfans.net/images/profiles/Adrian_Caldwell.jpg,1966,"Falls County, TX",225,1996,0,0,-1,,1989,Lamar,64,72,22,54,56,64,67,53,43,12,65,54,33,43,65,55,,,,,,,,,,,
10,Dwayne Schintzius,C,85,260,https://usatthebiglead.files.wordpress.com/2011/01/schintzius1.jpg,1968,"Brandon, FL",225,1996,1,24,23,23,1990,Florida,84,76,43,58,54,85,83,56,46,13,45,46,23,34,65,50,,,,,,,,,,,
10,Duane Ferrell,SF,79,209,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687950Fr.jpg,1965,"Baltimore, MD",845,2000,0,0,-1,,1988,Georgia Tech,57,55,54,62,53,43,54,34,54,34,44,34,23,43,54,52,,,,,,,,,,,
10,Fred Hoiberg,SG,76,203,http://a.espncdn.com/i/headshots/nba/players/65/339.jpg,1972,"Lincoln, NE",200,1996,2,23,10,10,1995,Iowa State,35,34,62,43,54,25,45,85,82,80,34,66,50,51,34,56,,,,,,,,,,,
10,Scott Haskin,C,83,250,http://www.tradingcarddb.com/Images/Cards/Basketball/75107/75107-5314020Fr.jpg,1970,"Riverside, CA",1313,1997,1,14,10,,1993,Oregon State,82,65,46,36,46,66,46,76,46,0,79,41,26,56,64,52,,,,,,,,Back injury,200,,
11,Lamond Murray,SF,79,236,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687887Fr.jpg,1973,"Pasadena, CA",2400,1999,1,7,11,,1994,California,63,36,70,79,58,25,77,52,55,66,45,61,53,27,54,61,,,,,,,,,,,
11,Malik Sealy,GF,80,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687764Fr.jpg,1970,"Bronx, NY",1495,1997,1,14,10,,1992,St. John's,65,46,70,65,64,35,65,65,55,76,45,34,65,34,54,57,,,,,,,,,,,
11,Pooh Richardson,PG,73,180,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687789Fr.jpg,1966,"Philadelphia, PA",2521,2000,1,10,15,,1989,UCLA,15,47,63,63,66,15,47,63,63,62,34,56,73,87,54,56,,,,,,,,,,,
11,Loy Vaught,PF,81,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687808Fr.jpg,1968,"Grand Rapids, MI",3000,1998,1,13,11,11,1990,Michigan,72,66,56,45,69,75,73,68,64,28,56,47,43,47,87,63,,,,,,,,,,,
11,Brian Williams,FC,81,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687953Fr.jpg,1969,"Fresno, CA",2200,1996,1,10,18,18,1991,Arizona,78,74,61,70,63,65,65,64,54,7,67,55,53,59,80,63,,,,,,,,,,,
11,Brent Barry,SG,78,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687999Fr.jpg,1971,"Hempstead, NY",833,1998,1,15,6,6,1995,Oregon State,54,23,63,85,60,35,82,35,64,76,54,64,61,54,34,58,,,,,,,,,,,
11,Rodney Rogers,SF,79,235,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687976Fr.jpg,1971,"Durham, NC",1920,1999,1,9,6,,1993,Wake Forest,59,76,57,45,65,64,76,65,68,72,45,65,47,54,65,61,,,,,,,,,,,
11,Eric Piatkowski,GF,79,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687741Fr.jpg,1970,"Steubenville, OH",1138,1999,1,15,10,10,1994,Nebraska,54,30,55,63,56,35,65,86,76,82,25,53,55,35,55,56,,,,,,,,,,,
11,Terry Dehere,G,74,190,http://media.nj.com/jersey-journal/photo/2014/04/14809680-standard.jpg,1971,"New York, NY",1680,1998,1,13,11,,1993,Seton Hall,21,35,76,35,65,26,73,65,35,65,53,65,76,59,35,57,,,,,,,,,,,
11,Stanley Roberts,C,84,285,http://1.bp.blogspot.com/_xv8pjRQ6byA/Rs16mF6Vo-I/AAAAAAAAA2o/rqEchgfnM2M/s320/Stanley_Roberts_3.jpg,1970,"Hopkins, SC",3000,1999,1,23,18,18,1991,LSU,90,83,33,38,54,68,67,6,34,0,66,43,42,43,70,57,,,,,,,,,,,
11,Keith Tower,FC,83,250,http://i.imgur.com/ymHjeBs.png,1970,"Libby, MT",263,1997,0,0,-1,-1,1992,Notre Dame,83,57,40,40,55,43,54,30,36,0,76,45,24,35,70,50,,,,,,,,,,,
11,Bo Outlaw,F,80,210,http://basketball.realgm.com/images/nba/4.2/profiles/photos/2006/Outlaw_Bo_orl.jpg,1971,"San Antonio, TX",500,1997,0,0,-1,,1993,Houston,66,61,59,74,54,55,45,5,25,3,56,35,24,38,66,56,,,,,,,,,,,
11,Logan Vander Velden,F,80,215,http://i.imgur.com/OAvoQEA.png,1971,"Valder, WI",200,1996,0,0,-1,-1,1994,Wisconsin-Green Bay,71,56,52,52,45,55,50,54,41,17,54,33,21,24,60,49,,,,,,,,,,,
12,Eddie Jones,GF,78,190,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687691Fr.jpg,1971,"Pompano Beach, FL",1600,2000,1,10,12,,1994,Temple,54,45,68,74,63,65,73,57,46,61,54,65,66,54,52,68,,,,,,,,,,,
12,Cedric Ceballos,SF,78,190,http://cedceballos.com/wp/wp-content/uploads/2011/10/ceballos1.jpg,1969,"Maui, HI",2245,1998,2,21,20,20,1990,Cal State Fullerton,51,54,75,77,84,55,86,65,90,75,43,23,43,54,34,61,,,,,,,,,,,
12,Vlade Divac,C,85,243,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-79Fr.jpg,1968,"Prijepolje, Serbia",3333,1998,1,26,12,,1989,Yugoslavia,83,77,55,68,74,76,76,68,54,12,67,43,39,76,87,67,,,,,,,,,,,
12,George Lynch,GF,80,218,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687802Fr.jpg,1970,"Roanoke, VA",1760,1998,1,12,12,,1993,North Carolina,65,58,62,60,46,35,58,65,61,40,75,46,46,45,60,59,,,,,,,,,,,
12,Sedale Threatt,G,74,175,http://cdn1.bloguin.com/wp-content/uploads/sites/121/2011/09/SedaleThreatt.jpg,1961,"Atlanta, GA",2400,1996,6,23,19,19,1983,West Virginia Tech,23,33,77,62,68,69,72,39,60,67,65,64,47,24,54,54,,,,,,,,,,,
12,Frankie King,G,73,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2410/2410-686688Fr.jpg,1972,"Baxley, GA",200,1996,2,8,12,12,1995,Western Carolina,14,33,62,54,44,25,45,65,45,64,45,34,54,65,45,56,,,,,,,,,,,
12,Anthony Miller,PF,81,225,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687919Fr.jpg,1971,"Benton Harbor, MI",550,1996,2,12,8,8,1994,Michigan State,68,75,42,50,55,70,66,60,36,15,56,45,30,46,65,53,,,,,,,,,,,
12,Corie Blount,FC,81,240,http://a.espncdn.com/i/headshots/nba/players/65/69.jpg,1969,"Monrovia, CA",1040,1999,1,25,3,,1993,Cincinnati,72,66,35,65,53,66,68,45,65,5,64,35,30,35,65,57,,,,,,,,,,,
12,Anthony Peeler,SG,76,208,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687900Fr.jpg,1969,"Kansas City, MS",1330,2000,1,15,12,,1992,Missouri,36,38,70,65,65,25,70,80,79,78,34,58,62,59,45,58,,,,,,,,,,,
12,Nick Van Exel,G,73,170,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687992Fr.jpg,1971,"Kenosha, WI",1900,1999,2,10,12,12,1993,Cincinnati,17,34,90,75,79,34,83,65,63,65,42,72,92,88,55,64,,,,,,,,,,,
12,Elden Campbell,FC,83,215,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687816Fr.jpg,1968,"Los Angeles, CA",2200,1996,1,27,12,,1990,Clemson,84,80,43,64,83,75,77,64,45,12,64,32,43,43,75,58,,,,,,,,,,,
12,Magic Johnson,PF,80,255,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-237Fr.jpg,1959,"Lansing, MI",2500,1996,1,1,12,12,1979,Michigan State,66,84,60,46,56,70,66,85,66,43,41,73,87,90,42,63,,,,,,,,Retired,70,,
12,Fred Roberts,FC,82,218,http://www.latimes.com/includes/projects/img/lakers/bio_photos/fred_roberts.jpg,1960,"Provo, UT",225,1996,2,4,14,14,1982,Brigham Young,76,66,45,58,35,57,56,79,34,35,57,50,27,39,55,50,,,,,,,,,,,
12,Derek Strong,PF,80,220,http://www.nba.com/media/playerfile/derek_strong.jpg,1968,"Los Angeles, CA",1000,1996,2,20,19,,1990,Xavier,69,82,54,32,45,54,65,34,65,34,54,45,35,45,54,53,,,,,,,,,,,
13,Alonzo Mourning,C,82,240,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687907Fr.jpg,1970,"Chesapeake, VA",4560,1996,1,2,2,,1992,Georgetown,88,86,65,75,85,84,85,76,54,0,91,54,46,32,87,88,,,,,,,,,,,
13,Billy Owens,GF,80,220,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687896Fr.jpg,1969,"Carlisle, PA",3320,1998,1,3,22,,1991,Syracuse,54,53,64,74,74,64,63,74,64,46,43,64,73,63,73,66,,,,,,,,,,,
13,Kurt Thomas,PF,81,230,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687944Fr.jpg,1972,"Dallas, TX",1071,1998,1,10,13,13,1995,Texas Christian,75,68,55,64,53,55,65,45,35,0,65,45,39,42,73,59,,,,,,,,,,,
13,Rex Chapman,G,76,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687929Fr.jpg,1967,"Bowling Green, KY",2004,1996,1,8,2,,1988,Kentucky,47,41,73,82,63,37,82,73,61,79,41,63,56,57,42,66,,,,,,,,,,,
-1,Voshon Lenard,SG,76,205,http://www.tradingcarddb.com/Images/Cards/Basketball/2462/2462-688769Fr.jpg,1973,"Detroit, MI",200,1996,2,19,14,,1994,Minnesota,37,45,65,55,55,55,57,75,69,83,33,57,52,52,43,58,,,,,,,,,,,
13,Sasha Danilovic,SG,77,200,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687904Fr.jpg,1970,"Sarajevo, Bosnia and Herzegovina",1455,1997,2,16,8,,1992,Serbia,43,35,64,54,55,34,56,80,65,84,64,69,54,65,34,63,,,,,,,,,,,
13,Bimbo Coles,PG,73,180,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687720Fr.jpg,1968,"Covington, VA",1002,2000,2,13,22,,1990,Oklahoma,14,34,65,65,64,25,60,87,34,65,23,54,80,68,23,49,,,,,,,,,,,
13,Stacey King,FC,83,230,http://i.imgur.com/JuKPHLI.png,1967,"Lawton, OK",600,1996,1,6,3,3,1989,Oklahoma,85,76,22,48,48,73,74,68,53,19,65,45,48,54,73,59,,,,,,,,,,,
13,Pete Myers,GF,78,180,http://i.imgur.com/VWWE6fZ.png,1963,"Mobile, AL",600,1996,6,4,3,3,1986,Little Rock,50,50,54,64,53,44,59,54,54,43,45,55,54,60,52,56,,,,,,,,,,,
13,Kevin Willis,FC,84,245,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-58Fr.jpg,1962,"Los Angeles, CA",3650,1996,1,11,0,0,1984,Michigan State,89,78,43,54,73,77,73,51,78,23,60,25,17,30,79,59,,,,,,,,,,,
13,Keith Askins,SF,79,197,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-687959Fr.jpg,1967,"Athens, AL",550,1998,0,0,-1,-1,1990,Alabama,58,57,52,65,57,32,61,61,31,29,56,42,41,47,61,56,,,,,,,,,,,
13,Terrence Rencher,PG,75,185,http://www.tradingcarddb.com/Images/Cards/Basketball/2447/2447-247Fr.jpg,1973,"Bronx, NY",200,1996,2,3,28,28,1995,Texas,29,36,65,55,42,25,44,54,66,45,53,24,74,66,34,50,,,,,,,,,,,
13,LeRon Ellis,C,81,225,https://m1.behance.net/rendition/modules/117193901/disp/3940de56a00237c8521b6e56ff93b82f.jpg,1969,"Los Angeles, CA",400,1996,1,22,11,11,1991,Syracuse,71,66,34,54,45,43,54,54,63,0,67,43,34,25,60,54,,,,,,,,,,,
13,Kevin Gamble,SF,77,210,http://img.spokeo.com/public/900-600/kevin_gamble_1995_01_01.jpg,1965,"Springfield, IL",845,1998,3,17,21,,1987,Iowa,43,46,55,52,54,56,53,63,34,13,53,45,45,54,43,54,,,,,,,,,,,
